Title,Color,Genre,Language,Country,Rating,Lead Actor,DirectorName,LeadActorFBLikes,CastFBLikes,DirectorFBLikes,MovieFBLikes,IMDbScore,TotalReviews,Duration,GrossRevenue,Budget,NetProfit,ReleaseYear,ReleaseMonth
The Best Years of Our Lives,Black and White,Drama,English,USA,Not Rated,Myrna Loy,William Wyler,749,1941,355,0,8.1,97,172,23650000,2100000,21550000,1946,4
The Lady from Shanghai,Black and White,Crime,English,USA,Not Rated,Rita Hayworth,Orson Welles,1000,1055,0,0,7.7,90,92,7927,2300000,-2292073,1947,12
The Pirate,Color,Adventure,English,USA,Approved,Gladys Cooper,Vincente Minnelli,89,282,136,359,7.1,41,102,2956000,3700000,-744000,1948,4
Annie Get Your Gun,Color,Biography,English,USA,Passed,Keenan Wynn,George Sidney,277,731,24,456,7.0,21,107,8000000,3768785,4231215,1950,4
The Greatest Show on Earth,Color,Drama,English,USA,Not Rated,Gloria Grahame,Cecil B. DeMille,232,825,309,625,6.7,44,152,36000000,4000000,32000000,1952,10
"The Beast from 20,000 Fathoms",Black and White,Adventure,English,USA,Approved,Kenneth Tobey,Eugène Lourié,57,205,7,465,6.7,67,80,5000000,210000,4790000,1953,8
The Robe,Color,Drama,English,USA,Unrated,Richard Burton,Henry Koster,726,1920,28,0,6.8,42,135,36000000,5000000,31000000,1953,5
On the Waterfront,Black and White,Crime,English,USA,Not Rated,Marlon Brando,Elia Kazan,10000,11094,603,0,8.2,134,108,9600000,910000,8690000,1954,10
Seven Samurai,Black and White,Action,Japanese,Japan,Unrated,Takashi Shimura,Akira Kurosawa,304,338,0,11000,8.7,153,202,269061,2000000,-1730939,1954,7
The Bridge on the River Kwai,Color,Adventure,English,UK,PG,William Holden,David Lean,682,1035,767,0,8.2,122,161,27200000,3000000,24200000,1957,9
Some Like It Hot,Black and White,Comedy,English,USA,Not Rated,Nehemiah Persoff,Billy Wilder,105,527,0,10000,8.3,181,120,25000000,2883848,22116152,1959,2
Psycho,Black and White,Horror,English,USA,R,Janet Leigh,Alfred Hitchcock,606,1885,13000,18000,8.5,290,108,32000000,806947,31193053,1960,11
West Side Story,Color,Crime,English,USA,Unrated,Rita Moreno,Jerome Robbins,804,1802,34,0,7.6,120,152,43650000,6000000,37650000,1961,5
Dr. No,Color,Action,English,UK,Approved,Ursula Andress,Terence Young,650,1421,92,5000,7.3,184,110,16067035,1100000,14967035,1962,11
Lawrence of Arabia,Color,Adventure,English,UK,PG,Claude Rains,David Lean,607,1076,767,11000,8.4,181,227,6000000,15000000,-9000000,1962,10
Cleopatra,Color,Biography,English,UK,Approved,Martin Landau,Joseph L. Mankiewicz,940,2957,311,0,7.0,72,251,57750000,31115000,26635000,1963,12
From Russia with Love,Color,Action,English,UK,Approved,Robert Shaw,Terence Young,559,1456,92,0,7.5,167,115,24800000,2000000,22800000,1963,11
"It's a Mad, Mad, Mad, Mad World",Color,Action,English,USA,Approved,Jonathan Winters,Stanley Kramer,924,4109,176,0,7.6,61,197,46300000,9400000,36900000,1963,11
A Fistful of Dollars,Color,Action,Italian,Italy,R,Clint Eastwood,Sergio Leone,16000,16534,0,0,8.0,122,99,3500000,200000,3300000,1964,1
A Hard Day's Night,Black and White,Comedy,English,UK,Approved,Paul McCartney,Richard Lester,785,2538,44,0,7.7,105,87,515005,560000,-44995,1964,5
Goldfinger,Color,Action,English,UK,Approved,Honor Blackman,Guy Hamilton,387,1198,82,0,7.8,164,110,51100000,3000000,48100000,1964,5
Mary Poppins,Color,Comedy,English,USA,Approved,Ed Wynn,Robert Stevenson,382,2045,55,0,7.8,145,139,102300000,6000000,96300000,1964,3
My Fair Lady,Color,Drama,English,USA,Approved,Jeremy Brett,George Cukor,453,1164,165,0,7.9,82,170,72000000,17000000,55000000,1964,7
Nothing But a Man,Black and White,Drama,English,USA,Not Rated,Yaphet Kotto,Michael Roemer,581,835,0,363,8.1,24,95,12438,160000,-147562,1964,4
Doctor Zhivago,Color,Drama,English,USA,PG-13,Julie Christie,David Lean,597,1966,767,7000,8.0,89,200,111722000,11000000,100722000,1965,6
Major Dundee,Color,Adventure,English,USA,Approved,James Coburn,Sam Peckinpah,773,2888,541,251,6.8,53,152,14873,3800000,-3785127,1965,11
The Greatest Story Ever Told,Color,Biography,English,USA,G,Martin Landau,George Stevens,940,1934,126,1000,6.6,27,225,8000000,20000000,-12000000,1965,4
The Sound of Music,Color,Biography,English,USA,G,Eleanor Parker,Robert Wise,354,1495,338,15000,8.0,119,174,163214286,8200000,155014286,1965,7
Thunderball,Color,Action,English,UK,Approved,Desmond Llewelyn,Terence Young,244,1164,92,0,7.0,129,130,63600000,9000000,54600000,1965,4
"The Good, the Bad and the Ugly",Color,Western,Italian,Italy,Approved,Clint Eastwood,Sergio Leone,16000,16089,0,20000,8.9,181,142,6100000,1200000,4900000,1966,6
You Only Live Twice,Color,Action,English,UK,Approved,Donald Pleasence,Lewis Gilbert,742,2127,43,0,6.9,130,117,43100000,9500000,33600000,1967,2
2001: A Space Odyssey,Color,Adventure,English,UK,G,Keir Dullea,Stanley Kubrick,273,727,0,24000,8.3,285,161,56715371,12000000,44715371,1968,7
Oliver!,Color,Drama,English,UK,G,Oliver Reed,Carol Reed,695,1593,82,0,7.5,56,153,16800000,10000000,6800000,1968,8
Butch Cassidy and the Sundance Kid,Color,Biography,English,USA,M,Katharine Ross,George Roy Hill,640,2169,131,0,8.1,130,110,102308900,6000000,96308900,1969,11
Mississippi Mermaid,Color,Crime,French,France,R,Catherine Deneuve,François Truffaut,963,1694,0,278,7.2,35,123,26893,1600000,-1573107,1969,10
On Her Majesty's Secret Service,Color,Action,English,UK,M,Telly Savalas,Peter R. Hunt,803,1769,13,0,6.8,143,142,22800000,7000000,15800000,1969,1
Beyond the Valley of the Dolls,Color,Comedy,English,USA,X,Charles Napier,Russ Meyer,503,731,199,0,6.2,101,109,9000000,900000,8100000,1970,4
Darling Lili,Color,Comedy,English,USA,G,Rock Hudson,Blake Edwards,638,788,688,104,6.2,22,143,5000000,25000000,-20000000,1970,11
Tora! Tora! Tora!,Color,Action,English,Japan,G,Joseph Cotten,Richard Fleischer,469,1548,130,0,7.5,79,160,14500000,25000000,-10500000,1970,6
Woodstock,Color,Documentary,English,USA,R,Joe Cocker,Michael Wadleigh,262,778,14,0,8.1,53,215,13300000,600000,12700000,1970,8
Diamonds Are Forever,Color,Action,English,UK,GP,Desmond Llewelyn,Guy Hamilton,244,1105,82,0,6.7,120,120,43800000,7200000,36600000,1971,9
Fiddler on the Roof,Color,Drama,English,USA,G,Topol,Norman Jewison,402,934,278,0,8.0,66,181,50000000,9000000,41000000,1971,4
Pink Narcissus,Color,Drama,English,USA,Not Rated,Don Brooks,James Bidgood,0,0,0,85,6.7,8,65,8231,27000,-18769,1971,5
Sweet Sweetback's Baadasssss Song,Color,Crime,English,USA,R,John Amos,Melvin Van Peebles,982,1631,101,566,5.5,38,97,15180000,500000,14680000,1971,5
Pink Flamingos,Color,Comedy,English,USA,NC-17,Divine,John Waters,462,760,0,0,6.1,73,108,180483,10000,170483,1972,6
The Godfather,Color,Crime,English,USA,R,Al Pacino,Francis Ford Coppola,14000,28122,0,43000,9.2,208,175,134821952,6000000,128821952,1972,2
American Graffiti,Color,Comedy,English,USA,PG,Harrison Ford,George Lucas,11000,14954,0,0,7.5,100,112,115000000,777000,114223000,1973,6
Live and Let Die,Color,Action,English,UK,PG,Yaphet Kotto,Guy Hamilton,581,1865,82,0,6.8,136,121,35400000,7000000,28400000,1973,8
Mean Streets,Color,Crime,English,USA,R,Robert De Niro,Martin Scorsese,22000,23737,17000,0,7.4,112,112,32645,500000,-467355,1973,10
The Exorcist,Color,Horror,English,USA,R,Ellen Burstyn,William Friedkin,1000,2466,607,18000,8.0,304,132,204565000,8000000,196565000,1973,11
The Sting,Color,Comedy,English,USA,PG,Eileen Brennan,George Roy Hill,1000,2387,131,0,8.3,119,129,159600000,5500000,154100000,1973,9
Benji,Color,Adventure,English,USA,G,Frances Bavier,Joe Camp,407,1090,24,816,6.1,5,86,39552600,500000,39052600,1974,8
Blazing Saddles,Color,Comedy,English,USA,R,Madeline Kahn,Mel Brooks,1000,4701,0,12000,7.8,121,93,119500000,2600000,116900000,1974,3
The Godfather: Part II,Color,Crime,English,USA,R,Robert De Niro,Francis Ford Coppola,22000,39960,0,14000,9.0,149,220,57300000,13000000,44300000,1974,4
The Man with the Golden Gun,Color,Action,English,UK,PG,Christopher Lee,Guy Hamilton,16000,17611,82,2000,6.8,118,125,21000000,13000000,8000000,1974,2
The Texas Chain Saw Massacre,Color,Horror,English,USA,R,Gunnar Hansen,Tobe Hooper,383,1094,365,0,7.5,277,88,30859000,83532,30775468,1974,4
Young Frankenstein,Black and White,Comedy,English,USA,PG,Madeline Kahn,Mel Brooks,1000,2703,0,14000,8.0,129,106,86300000,2800000,83500000,1974,6
Jaws,Color,Adventure,English,USA,PG,Roy Scheider,Steven Spielberg,813,2047,14000,21000,8.0,385,130,260000000,8000000,252000000,1975,2
Monty Python and the Holy Grail,Color,Adventure,English,UK,PG,Eric Idle,Terry Gilliam,795,2158,0,14000,8.3,131,91,1229197,229575,999622,1975,6
One Flew Over the Cuckoo's Nest,Color,Drama,English,USA,R,Scatman Crothers,Milos Forman,888,2176,869,32000,8.7,149,133,112000000,4400000,107600000,1975,5
Logan's Run,Color,Action,English,USA,PG,Farrah Fawcett,Michael Anderson,1000,2951,23,0,6.8,112,119,25000000,9000000,16000000,1976,10
Rocky,Color,Drama,English,USA,PG,Sylvester Stallone,John G. Avildsen,13000,16094,80,0,8.1,141,145,117235247,960000,116275247,1976,11
A Bridge Too Far,Black and White,Drama,English,USA,PG,Ryan O'Neal,Richard Attenborough,385,669,0,0,7.4,56,175,50800000,26000000,24800000,1977,8
Annie Hall,Color,Comedy,English,USA,PG,Woody Allen,Woody Allen,11000,12691,11000,0,8.1,154,93,39200000,4000000,35200000,1977,5
Close Encounters of the Third Kind,Color,Drama,English,USA,PG,Bob Balaban,Steven Spielberg,559,1591,14000,0,7.7,171,135,128300000,19400870,108899130,1977,12
Kingdom of the Spiders,Color,Horror,English,USA,PG,Woody Strode,John 'Bud' Cardos,423,516,8,0,5.9,95,97,17000000,500000,16500000,1977,1
March or Die,Color,Adventure,English,UK,PG,Catherine Deneuve,Dick Richards,963,2209,6,122,6.3,6,107,1000000,9000000,-8000000,1977,5
Star Wars: Episode IV - A New Hope,Color,Action,English,USA,PG,Harrison Ford,George Lucas,11000,13485,0,33000,8.7,282,125,460935665,11000000,449935665,1977,2
The Spy Who Loved Me,Color,Action,English,UK,PG,Caroline Munro,Lewis Gilbert,456,1326,43,0,7.1,112,123,46800000,14000000,32800000,1977,8
Animal House,Color,Comedy,English,USA,R,John Belushi,John Landis,1000,3468,644,0,7.6,94,109,141600000,3000000,138600000,1978,9
Caravans,Color,Action,English,Iran,PG,Christopher Lee,James Fargo,16000,17250,109,76,6.5,2,127,1000000,14000000,-13000000,1978,4
Grease,Color,Musical,English,USA,PG-13,Olivia Newton-John,Randal Kleiser,1000,5127,116,13000,7.2,124,110,181360000,6000000,175360000,1978,8
Halloween,Color,Horror,English,USA,R,Jamie Lee Curtis,John Carpenter,2000,4400,0,12000,7.9,318,101,47000000,300000,46700000,1978,8
Jaws 2,Color,Adventure,English,USA,PG,Roy Scheider,Jeannot Szwarc,813,1520,82,0,5.7,75,131,102922376,20000000,82922376,1978,6
Superman,Color,Action,English,USA,PG,Marlon Brando,Richard Donner,10000,12940,503,0,7.3,169,188,134218018,55000000,79218018,1978,5
The Wiz,Color,Adventure,English,USA,G,Lena Horne,Sidney Lumet,738,1458,0,0,5.2,32,118,13000000,24000000,-11000000,1978,7
Alien,Color,Horror,English,UK,R,Tom Skerritt,Ridley Scott,1000,2524,0,23000,8.5,392,116,78900000,11000000,67900000,1979,10
Apocalypse Now,Color,Drama,English,USA,R,Harrison Ford,Francis Ford Coppola,11000,25313,0,19000,8.5,261,289,78800000,31500000,47300000,1979,9
Escape from Alcatraz,Color,Biography,English,USA,PG,Clint Eastwood,Don Siegel,16000,17568,152,0,7.6,53,112,36500000,8000000,28500000,1979,5
Moonraker,Color,Action,English,UK,PG,Desmond Llewelyn,Lewis Gilbert,244,1008,43,0,6.3,121,126,62700000,34000000,28700000,1979,9
Star Trek: The Motion Picture,Color,Adventure,English,USA,PG,Leonard Nimoy,Robert Wise,12000,16007,338,0,6.4,134,143,82300000,35000000,47300000,1979,11
The Rose,Color,Drama,English,USA,R,David Keith,Mark Rydell,563,1097,43,1000,6.9,32,125,29200000,8500000,20700000,1979,5
Airplane!,Color,Comedy,English,USA,PG,Peter Graves,Jim Abrahams,628,2726,104,16000,7.8,134,88,83400000,3500000,79900000,1980,7
Caddyshack,Color,Comedy,English,USA,R,Bill Murray,Harold Ramis,13000,14921,11000,0,7.4,71,98,39800000,6000000,33800000,1980,10
Can't Stop the Music,Color,Biography,English,USA,PG,Steve Guttenberg,Nancy Walker,801,1462,42,1000,4.5,26,124,2000000,20000000,-18000000,1980,11
Dressed to Kill,Color,Mystery,English,USA,X,Angie Dickinson,Brian De Palma,754,2442,0,0,7.1,121,104,31899000,6500000,25399000,1980,6
Heaven's Gate,Color,Adventure,English,USA,R,Jeff Bridges,Michael Cimino,12000,14255,517,1000,6.8,102,325,1500000,44000000,-42500000,1980,2
Ordinary People,Color,Drama,English,USA,R,Adam Baldwin,Robert Redford,2000,5122,0,0,7.8,62,124,54800000,6000000,48800000,1980,2
Private Benjamin,Color,Comedy,English,USA,R,Eileen Brennan,Howard Zieff,1000,2419,6,855,6.1,25,109,69800000,10000000,59800000,1980,7
Raging Bull,Black and White,Biography,English,USA,R,Robert De Niro,Martin Scorsese,22000,23008,17000,0,8.3,151,121,45250,18000000,-17954750,1980,7
Raise the Titanic,Color,Action,English,UK,PG,M. Emmet Walsh,Jerry Jameson,521,1883,5,328,4.7,32,119,7000000,36000000,-29000000,1980,9
Star Wars: Episode V - The Empire Strikes Back,Color,Action,English,USA,PG,Harrison Ford,Irvin Kershner,11000,12643,883,17000,8.8,223,127,290158751,18000000,272158751,1980,4
Superman II,Color,Action,English,USA,PG,Margot Kidder,Richard Lester,593,2908,44,0,6.8,121,116,108200000,54000000,54200000,1980,10
The Blues Brothers,Color,Action,English,USA,R,John Belushi,John Landis,1000,2566,644,14000,7.9,125,148,54200000,27000000,27200000,1980,8
The Fog,Color,Fantasy,English,USA,R,Jamie Lee Curtis,John Carpenter,2000,4877,0,7000,6.8,212,89,21378000,1000000,20378000,1980,8
Chariots of Fire,Color,Biography,English,UK,PG,Alice Krige,Hugh Hudson,368,1651,46,0,7.2,90,125,58800000,5500000,53300000,1981,8
Das Boot,Color,Adventure,German,West Germany,R,Jürgen Prochnow,Wolfgang Petersen,362,469,249,11000,8.4,96,293,11433134,14000000,-2566866,1981,7
Dragonslayer,Color,Action,English,USA,PG,Ian McDiarmid,Matthew Robbins,1000,1263,25,0,6.7,60,108,6000000,18000000,-12000000,1981,4
Escape from New York,Color,Action,English,UK,R,Donald Pleasence,John Carpenter,742,2270,0,0,7.2,201,106,25244700,6000000,19244700,1981,9
For Your Eyes Only,Color,Action,English,UK,PG,Julian Glover,John Glen,844,2118,46,2000,6.8,112,127,62300000,28000000,34300000,1981,3
Friday the 13th Part 2,Color,Horror,English,USA,R,Betsy Palmer,Steve Miner,309,707,49,0,6.1,242,87,19100000,1250000,17850000,1981,1
Mad Max 2: The Road Warrior,Black and White,Action,English,Australia,R,Vernon Wells,George Miller,745,1396,750,0,7.6,177,87,9003011,2000000,7003011,1981,9
Porky's,Color,Comedy,English,Canada,R,Art Hindle,Bob Clark,110,582,84,0,6.2,75,94,105500000,4000000,101500000,1981,7
Raiders of the Lost Ark,Color,Action,English,USA,PG,Harrison Ford,Steven Spielberg,11000,12906,14000,16000,8.5,234,115,242374454,18000000,224374454,1981,5
Roar,Color,Adventure,English,USA,PG,Tippi Hedren,Noel Marshall,634,1262,4,0,6.4,50,102,2000000,17000000,-15000000,1981,8
Sphinx,Color,Adventure,English,USA,PG,Frank Langella,Franklin J. Schaffner,902,2079,76,106,5.2,2,118,800000,14000000,-13200000,1981,5
Stripes,Color,Action,English,USA,R,Bill Murray,Ivan Reitman,13000,27378,425,0,6.9,52,117,85300000,10000000,75300000,1981,11
The Beyond,Black and White,Horror,Italian,Italy,X,Catriona MacColl,Lucio Fulci,48,123,385,2000,6.9,203,82,126387,400000,-273613,1981,12
The Howling,Color,Horror,English,USA,R,Patrick Macnee,Joe Dante,1000,4438,287,0,6.6,161,91,17986000,1000000,16986000,1981,6
The Legend of the Lone Ranger,Color,Action,English,USA,PG,Jason Robards,William A. Fraker,372,927,28,346,5.0,25,98,8000000,18000000,-10000000,1981,1
Time Bandits,Color,Adventure,English,UK,PG,Shelley Duvall,Terry Gilliam,629,2730,0,0,7.0,139,103,42365600,5000000,37365600,1981,4
Under the Rainbow,Color,Comedy,English,USA,PG,Mako,Steve Rash,691,1761,15,501,5.4,13,98,8500000,20000000,-11500000,1981,7
Blade Runner,Color,Sci-Fi,English,USA,R,Harrison Ford,Ridley Scott,11000,13877,0,34000,8.2,302,117,27000000,28000000,-1000000,1982,12
Conan the Barbarian,Color,Adventure,English,USA,R,William Smith,John Milius,919,2024,468,0,6.9,166,129,37567440,20000000,17567440,1982,8
Diner,Color,Comedy,English,USA,R,Steve Guttenberg,Barry Levinson,801,2943,272,0,7.2,42,110,14100000,5000000,9100000,1982,4
E.T. the Extra-Terrestrial,Color,Family,English,USA,PG,Henry Thomas,Steven Spielberg,861,2811,14000,34000,7.9,215,120,434949459,10500000,424449459,1982,10
Firefox,Color,Action,English,USA,PG,Clint Eastwood,Clint Eastwood,16000,16805,16000,0,5.9,43,136,46700000,21000000,25700000,1982,7
Friday the 13th Part III,Color,Horror,English,USA,R,Richard Brooker,Steve Miner,72,174,49,0,5.7,235,91,36200000,4000000,32200000,1982,1
Halloween III: Season of the Witch,Color,Horror,English,USA,R,Tom Atkins,Tommy Lee Wallace,381,684,24,0,4.6,162,98,14400000,2500000,11900000,1982,6
Megaforce,Color,Action,English,USA,PG,Barry Bostwick,Hal Needham,456,1356,379,0,3.5,40,99,5333658,20000000,-14666342,1982,3
Poltergeist,Color,Fantasy,English,USA,PG,Heather O'Rourke,Tobe Hooper,887,3876,365,11000,7.4,223,120,76600000,10700000,65900000,1982,7
Star Trek II: The Wrath of Khan,Color,Action,English,USA,PG,Leonard Nimoy,Nicholas Meyer,12000,16539,120,0,7.7,148,116,78900000,11000000,67900000,1982,12
The Best Little Whorehouse in Texas,Color,Comedy,English,USA,R,Dolly Parton,Colin Higgins,1000,3688,19,0,5.8,11,114,69700000,35000000,34700000,1982,12
The Thing,Color,Horror,English,USA,R,Wilford Brimley,John Carpenter,957,1757,0,23000,8.2,297,109,13782838,15000000,-1217162,1982,2
The Verdict,Color,Drama,English,USA,R,Charlotte Rampling,Sidney Lumet,844,2330,0,0,7.8,79,129,54000000,16000000,38000000,1982,2
Tootsie,Color,Comedy,English,USA,PG,Bill Murray,Sydney Pollack,13000,14701,521,0,7.4,94,116,177200000,22000000,155200000,1982,10
Flashdance,Color,Drama,English,USA,R,Michael Nouri,Adrian Lyne,225,791,213,0,6.1,51,95,94900000,4000000,90900000,1983,1
Lone Wolf McQuade,Color,Action,English,USA,PG,David Carradine,Steve Carver,926,2383,8,0,6.3,29,107,12200000,5000000,7200000,1983,7
National Lampoon's Vacation,Color,Adventure,English,USA,R,Beverly D'Angelo,Harold Ramis,816,3617,11000,0,7.4,55,98,61400000,15000000,46400000,1983,6
Never Say Never Again,Color,Action,English,UK,PG,Bernie Casey,Irvin Kershner,180,762,883,0,6.2,89,121,55500000,36000000,19500000,1983,4
Octopussy,Color,Action,English,UK,PG,Louis Jourdan,John Glen,594,1898,46,0,6.6,106,131,67900000,27500000,40400000,1983,1
Scarface,Color,Crime,English,USA,R,Al Pacino,Brian De Palma,14000,16464,0,19000,8.3,147,142,44700000,25000000,19700000,1983,3
Star Wars: Episode VI - Return of the Jedi,Color,Action,English,USA,PG,Harrison Ford,Richard Marquand,11000,13649,37,14000,8.4,197,134,309125409,32500000,276625409,1983,12
Superman III,Color,Action,English,UK,PG,Margot Kidder,Richard Lester,593,2329,44,0,4.9,95,125,60000000,39000000,21000000,1983,8
The Outsiders,Color,Crime,English,USA,PG-13,Tom Cruise,Francis Ford Coppola,10000,12097,0,10000,7.2,60,114,25600000,10000000,15600000,1983,2
The Right Stuff,Color,Adventure,English,USA,PG,Dennis Quaid,Philip Kaufman,2000,6341,133,0,7.9,80,193,21500000,27000000,-5500000,1983,3
Twilight Zone: The Movie,Color,Fantasy,English,USA,PG,Albert Brooks,Joe Dante,745,1954,287,0,6.5,78,101,29500000,10000000,19500000,1983,1
WarGames,Color,Sci-Fi,English,USA,PG,Matthew Broderick,John Badham,2000,4537,139,0,7.1,84,114,79568000,12000000,67568000,1983,6
Yentl,Color,Drama,English,UK,PG,Miriam Margolyes,Barbra Streisand,405,914,0,0,6.6,16,132,30400000,12000000,18400000,1983,10
A Nightmare on Elm Street,Color,Horror,English,USA,X,Johnny Depp,Wes Craven,40000,42918,0,10000,7.5,256,101,26505000,1800000,24705000,1984,4
A Passage to India,Color,Adventure,English,UK,PG,Richard Wilson,David Lean,358,1334,767,845,7.4,52,164,26400000,16000000,10400000,1984,12
Amadeus,Color,Biography,English,USA,R,Jeffrey Jones,Milos Forman,692,3076,869,16000,8.3,134,180,51600000,18000000,33600000,1984,2
Beverly Hills Cop,Color,Action,English,USA,R,Judge Reinhold,Martin Brest,901,3464,102,0,7.3,94,105,234760500,14000000,220760500,1984,2
Conan the Destroyer,Color,Action,English,USA,PG,Mako,Richard Fleischer,691,2481,130,2000,5.8,77,103,26400000,18000000,8400000,1984,6
Dune,Color,Action,English,USA,PG-13,Virginia Madsen,David Lynch,913,2449,0,11000,6.6,144,177,27400000,40000000,-12600000,1984,9
Firestarter,Color,Action,English,USA,R,Heather Locklear,Mark L. Lester,695,3444,73,0,6.0,45,114,15100000,15000000,100000,1984,9
Footloose,Color,Drama,English,USA,PG,Dianne Wiest,Herbert Ross,967,1962,71,0,6.5,60,107,80000000,8200000,71800000,1984,4
Friday the 13th: The Final Chapter,Color,Horror,English,USA,R,Judie Aronson,Joseph Zito,158,467,17,0,5.9,166,97,32600000,1800000,30800000,1984,2
Gremlins,Color,Comedy,English,USA,PG,Phoebe Cates,Joe Dante,767,2053,287,14000,7.2,183,106,148170000,11000000,137170000,1984,10
Indiana Jones and the Temple of Doom,Color,Action,English,USA,PG,Harrison Ford,Steven Spielberg,11000,11898,14000,0,7.6,148,118,179870271,28000000,151870271,1984,10
Once Upon a Time in America,Color,Crime,English,Italy,R,Robert De Niro,Sergio Leone,22000,24719,0,12000,8.4,111,251,5300000,30000000,-24700000,1984,9
Police Academy,Color,Comedy,English,USA,R,Steve Guttenberg,Hugh Wilson,801,3113,37,0,6.7,45,96,81200000,4500000,76700000,1984,4
Splash,Color,Comedy,English,USA,PG,Tom Hanks,Ron Howard,15000,15361,2000,0,6.2,43,111,69800000,8000000,61800000,1984,10
Star Trek III: The Search for Spock,Color,Action,English,USA,PG,Leonard Nimoy,Leonard Nimoy,12000,14762,12000,0,6.6,110,105,76400000,17000000,59400000,1984,10
The Bounty,Color,Action,English,UK,PG,Liam Neeson,Roger Donaldson,14000,28094,79,1000,7.0,29,132,8600000,25000000,-16400000,1984,2
The Cotton Club,Color,Crime,English,USA,R,Nicolas Cage,Francis Ford Coppola,12000,18793,0,828,6.5,36,123,25900000,58000000,-32100000,1984,11
The Hotel New Hampshire,Color,Comedy,English,UK,R,Joely Richardson,Tony Richardson,584,2024,62,345,6.0,9,109,5100000,7500000,-2400000,1984,10
The Karate Kid,Color,Action,English,USA,PG,Martin Kove,John G. Avildsen,668,2004,80,0,7.2,81,126,90800000,8000000,82800000,1984,10
The Terminator,Color,Action,English,UK,R,Michael Biehn,James Cameron,2000,3582,0,13000,8.1,204,107,38400000,6500000,31900000,1984,9
A Nightmare on Elm Street 2: Freddy's Revenge,Color,Fantasy,English,USA,R,Clu Gulager,Jack Sholder,426,1472,28,0,5.4,138,87,30000000,2200000,27800000,1985,3
A Room with a View,Color,Drama,English,UK,Unrated,Julian Sands,James Ivory,687,1665,133,0,7.4,55,117,20966644,3000000,17966644,1985,11
A View to a Kill,Color,Action,English,UK,PG,Patrick Macnee,John Glen,1000,2943,46,0,6.3,108,131,50300000,30000000,20300000,1985,4
Back to the Future,Color,Adventure,English,USA,PG,Lea Thompson,Robert Zemeckis,1000,3230,0,39000,8.5,198,116,210609762,19000000,191609762,1985,12
Brazil,Color,Drama,English,UK,R,Robert De Niro,Terry Gilliam,22000,29475,0,16000,8.0,230,142,9929000,15000000,-5071000,1985,2
Friday the 13th: A New Beginning,Color,Horror,English,USA,R,Tiffany Helm,Danny Steinmann,42,170,13,1000,4.7,160,92,21300000,2200000,19100000,1985,7
Mad Max Beyond Thunderdome,Color,Action,English,Australia,PG-13,Tina Turner,George Miller,794,1529,750,0,6.2,117,107,36200000,12305523,23894477,1985,11
Out of Africa,Color,Biography,English,USA,PG,Meryl Streep,Sydney Pollack,11000,12518,521,0,7.2,66,161,87100000,31000000,56100000,1985,11
Pale Rider,Color,Western,English,USA,R,Clint Eastwood,Clint Eastwood,16000,17209,16000,0,7.3,38,115,41400000,6900000,34500000,1985,1
Rambo: First Blood Part II,Color,Action,English,USA,R,Sylvester Stallone,George P. Cosmatos,13000,15662,170,0,6.4,96,96,150415432,44000000,106415432,1985,12
